Name,Professionalism
silyoli14 30.txt,0
BeerAndSmoking 4.txt,-1
viahmona 15.txt,-1
tyler02020202 7.txt,-1
Cellk8 40.txt,0
BeerAndSmoking 11.txt,-1
dyIanbonito 14.txt,0
dremo 33.txt,-1
zionthemessiah 40.txt,-1
immaculatecap 8.txt,1
ninagrewal97 33.txt,1
chydxll 26.txt,1
dyIanbonito 40.txt,1
user174023 41.txt,-1
yarkonnaaa 2.txt,0
isathehair 27.txt,-1
mihu 30.txt,-1
jujusaiditt 7.txt,1
1similac 41.txt,0
dashxwty 37.txt,0
thuggersexx 6.txt,-1
eternallife333 15.txt,-1
eternallife333 4.txt,-1
gauravity_ 16.txt,1
ninagrewal97 17.txt,1
oppmiles 24.txt,1
yarkonnaaa 12.txt,0
47jessyka 30.txt,-1
zionthemessiah 33.txt,0
oppmiles 31.txt,-1
AddieShepherd19 19.txt,1
silyoli14 13.txt,0
chydxll 21.txt,-1
yarkonnaaa 32.txt,-1
NotTaRealAubrey 24.txt,1
Domhausen 21.txt,-1
Grindpay365x 18.txt,0
oppmiles 27.txt,-1
scaryclit 5.txt,1
201grip 22.txt,-1
ftlegos 23.txt,0
thoughtsfreeing 22.txt,0
etheralbri 7.txt,1
gauravity_ 8.txt,1
5iberia 27.txt,-1
201grip 33.txt,0
Iolpeegirl 27.txt,0
etheralbri 26.txt,1
em44n_ 35.txt,0
Domhausen 28.txt,-1
Domhausen 34.txt,1
sknnytweetz 13.txt,-1
NotTaRealAubrey 35.txt,0
em44n_ 32.txt,-1
chydxll 42.txt,1
cigugly 12.txt,-1
dremo 9.txt,-1
isathehair 7.txt,-1
scaryclit 29.txt,-1
yamakobaaaaaa 29.txt,1
Grindpay365x 19.txt,0
chydxll 33.txt,1
silyoli14 26.txt,0
chydxll 34.txt,1
zionthemessiah 5.txt,0
BeerAndSmoking 6.txt,0
bamfartgera 25.txt,-1
Grindpay365x 28.txt,0
gauravity_ 38.txt,0
thoughtsfreeing 40.txt,0
201grip 18.txt,0
ninagrewal97 37.txt,1
ninagrewal97 16.txt,1
1similac 26.txt,0
em44n_ 6.txt,-1
Domhausen 35.txt,1
viahmona 20.txt,-1
chydxll 39.txt,1
tyler02020202 5.txt,-1
gauravity_ 20.txt,0
BeerAndSmoking 27.txt,-1
Domhausen 39.txt,-1
mihu 40.txt,0
201grip 13.txt,0
oppmiles 23.txt,1
em44n_ 29.txt,-1
1047lilm 11.txt,-1
immaculatecap 16.txt,-1
1similac 19.txt,-1
viahmona 30.txt,0
ninagrewal97 28.txt,0
1047lilm 21.txt,-1
KaedenVAL 23.txt,-1
BeerAndSmoking 33.txt,-1
etheralbri 11.txt,1
sknnytweetz 20.txt,-1
viahmona 31.txt,-1
chydxll 18.txt,-1
ftlegos 17.txt,-1
1047lilm 10.txt,-1
dremo 37.txt,0
immaculatecap 27.txt,-1
em44n_ 11.txt,0
em44n_ 9.txt,1
5iberia 31.txt,-1
Domhausen 41.txt,1
ftlegos 35.txt,0
jujusaiditt 39.txt,-1
ily2key 14.txt,0
JambaaJuicee 2.txt,1
chydxll 13.txt,-1
yamakobaaaaaa 31.txt,-1
AddieShepherd19 10.txt,1
Domhausen 4.txt,-1
201grip 28.txt,1
Iolpeegirl 14.txt,-1
ninagrewal97 3.txt,1
yamakobaaaaaa 32.txt,0
em44n_ 18.txt,0
Iolpeegirl 5.txt,-1
eternallife333 28.txt,1
silyoli14 40.txt,0
JambaaJuicee 36.txt,-1
ftlegos 37.txt,0
201grip 24.txt,0
47jessyka 17.txt,-1
sknnytweetz 34.txt,0
hawtiiccee 28.txt,-1
Cellk8 42.txt,-1
oppmiles 12.txt,1
Iolpeegirl 26.txt,-1
gauravity_ 14.txt,-1
juuheartattack 28.txt,1
47jessyka 39.txt,-1
thoughtsfreeing 23.txt,0
dashxwty 25.txt,-1
cigugly 5.txt,-1
zionthemessiah 12.txt,-1
jujusaiditt 26.txt,0
Domhausen 5.txt,-1
dremo 29.txt,0
KaedenVAL 17.txt,-1
Iolpeegirl 28.txt,-1
etheralbri 1.txt,0
1047lilm 37.txt,0
yarkonnaaa 21.txt,-1
tyler02020202 31.txt,-1
ninagrewal97 21.txt,1
ftlegos 40.txt,-1
eternallife333 42.txt,0
zionthemessiah 34.txt,0
ftlegos 41.txt,-1
ninagrewal97 23.txt,1
yarkonnaaa 20.txt,-1
201grip 29.txt,0
dremo 10.txt,0
em44n_ 25.txt,0
eternallife333 19.txt,-1
bamfartgera 42.txt,-1
dashxwty 5.txt,-1
bamfartgera 7.txt,-1
AddieShepherd19 24.txt,1
Grindpay365x 11.txt,0
bspencxr 14.txt,0
sknnytweetz 37.txt,-1
BeerAndSmoking 39.txt,-1
tyler02020202 20.txt,1
immaculatecap 21.txt,-1
201grip 27.txt,0
BeerAndSmoking 8.txt,0
Fly_Jitt 24.txt,-1
ninagrewal97 19.txt,1
em44n_ 34.txt,-1
JambaaJuicee 42.txt,-1
scaryclit 26.txt,0
JambaaJuicee 17.txt,0
KaedenVAL 18.txt,-1
oppmiles 36.txt,-1
1similac 12.txt,1
user174023 23.txt,-1
zionthemessiah 13.txt,0
etheralbri 20.txt,0
thuggersexx 5.txt,-1
ninagrewal97 35.txt,1
Iolpeegirl 30.txt,-1
oppmiles 29.txt,1
lex0235 13.txt,-1
Grindpay365x 34.txt,0
Iolpeegirl 4.txt,-1
gauravity_ 19.txt,-1
zionthemessiah 38.txt,0
ninagrewal97 34.txt,1
AddieShepherd19 17.txt,1
yarkonnaaa 27.txt,0
Iolpeegirl 31.txt,1
cigugly 29.txt,-1
JambaaJuicee 4.txt,-1
AddieShepherd19 20.txt,-1
Domhausen 26.txt,1
dashxwty 13.txt,0
1similac 11.txt,0
oppmiles 8.txt,1
chydxll 11.txt,-1
chydxll 37.txt,0
tyler02020202 25.txt,-1
dyIanbonito 7.txt,-1
isathehair 25.txt,-1
immaculatecap 3.txt,0
Fly_Jitt 35.txt,-1
AddieShepherd19 33.txt,-1
isathehair 5.txt,-1
oppmiles 21.txt,-1
47jessyka 25.txt,-1
NotTaRealAubrey 32.txt,-1
bamfartgera 18.txt,-1
immaculatecap 19.txt,-1
ftlegos 7.txt,-1
JambaaJuicee 27.txt,-1
bspencxr 29.txt,-1
hawtiiccee 33.txt,-1
AddieShepherd19 38.txt,-1
immaculatecap 37.txt,-1
AddieShepherd19 7.txt,1
47jessyka 12.txt,-1
immaculatecap 30.txt,-1
ftlegos 38.txt,-1
5iberia 16.txt,0
1similac 18.txt,-1
isathehair 26.txt,-1
tyler02020202 26.txt,0
Iolpeegirl 1.txt,0
ninagrewal97 20.txt,1
ily2key 35.txt,1
viahmona 1.txt,0
viahmona 13.txt,1
chydxll 12.txt,-1
immaculatecap 20.txt,-1
gauravity_ 6.txt,1
sknnytweetz 16.txt,0
lex0235 6.txt,-1
jujusaiditt 31.txt,0
tyler02020202 29.txt,0
Grindpay365x 8.txt,0
BeerAndSmoking 36.txt,0
jujusaiditt 5.txt,-1
thoughtsfreeing 16.txt,0
bamfartgera 28.txt,-1
bamfartgera 8.txt,-1
Domhausen 18.txt,-1
sknnytweetz 32.txt,0
jujusaiditt 15.txt,-1
user174023 31.txt,1
BeerAndSmoking 10.txt,-1
201grip 41.txt,-1
Domhausen 7.txt,-1
1similac 16.txt,-1
dremo 28.txt,0
yarkonnaaa 13.txt,0
ily2key 1.txt,-1
scaryclit 42.txt,-1
silyoli14 28.txt,0
bamfartgera 32.txt,0
isathehair 11.txt,0
ftlegos 28.txt,-1
juuheartattack 32.txt,0
silyoli14 9.txt,0
isathehair 30.txt,-1
bamfartgera 29.txt,1
NotTaRealAubrey 5.txt,-1
BeerAndSmoking 31.txt,0
hawtiiccee 3.txt,-1
cigugly 39.txt,-1
Grindpay365x 26.txt,0
Grindpay365x 12.txt,0
1similac 28.txt,0
oppmiles 39.txt,1
hawtiiccee 18.txt,0
chydxll 19.txt,-1
ily2key 36.txt,1
Iolpeegirl 13.txt,-1
em44n_ 28.txt,0
zionthemessiah 14.txt,-1
Domhausen 10.txt,0
isathehair 17.txt,0
thoughtsfreeing 20.txt,0
oppmiles 35.txt,-1
viahmona 16.txt,0
thuggersexx 19.txt,-1
mihu 22.txt,1
NotTaRealAubrey 16.txt,0
47jessyka 8.txt,-1
AddieShepherd19 37.txt,-1
silyoli14 19.txt,-1
jujusaiditt 42.txt,0
oppmiles 25.txt,-1
201grip 32.txt,0
JambaaJuicee 8.txt,0
BeerAndSmoking 13.txt,0
eternallife333 22.txt,-1
gauravity_ 24.txt,0
tyler02020202 24.txt,-1
47jessyka 11.txt,0
cigugly 25.txt,1
oppmiles 32.txt,1
sknnytweetz 42.txt,-1
chydxll 24.txt,-1
5iberia 10.txt,-1
JambaaJuicee 38.txt,-1
Domhausen 6.txt,-1
Cellk8 41.txt,-1
etheralbri 36.txt,0
eternallife333 3.txt,0
